Indoor_Temperature,Outdoor_Temperature,Humidity,Occupancy,Weather_Condition,Time_of_Day,Sunlight_Intensity,Room_Size,Window_State,Ideal_Temperature
18.58,17.87,55.47,6,Rainy,Evening,8.7,11.5,Closed,20.49
33.46,29.53,34.46,2,Humid,Afternoon,2,31,Closed,23.01
22.4,36.74,23.1,9,Cloudy,Morning,4.1,12.2,Open,24
29.26,31.68,62.9,6,Cloudy,Evening,2.6,48.7,Closed,20.99
23.3,18.12,35.68,2,Cloudy,Evening,1.8,25.1,Closed,23.99
26.84,10.03,29.79,7,Windy,Evening,1.8,30.1,Open,25
27.29,36.5,45.8,4,Rainy,Afternoon,3.8,15.2,Closed,22.5
21.14,44.48,65.51,1,Stormy,Afternoon,8.1,49.8,Closed,18.99
34.48,38.35,22.18,9,Cloudy,Morning,9.7,29.7,Open,22.99
31.18,26.11,58.29,8,Windy,Afternoon,5.9,21.9,Open,23.01
33.97,41.63,48.62,5,Humid,Morning,6.5,17.7,Closed,23.01
33.21,24.34,41.27,3,Rainy,Morning,7.9,36,Closed,21.5
28.16,28.37,57.2,4,Windy,Morning,6.8,27.5,Open,22.99
33.67,26.7,68.29,3,Stormy,Evening,8.6,22.7,Closed,18.99
19.5,25.67,31.46,8,Stormy,Night,8.9,10.4,Closed,21
21.33,37.13,27.18,5,Humid,Evening,6.5,11.5,Open,24
18.77,28.44,65.64,8,Cloudy,Evening,5.6,37.7,Open,22
23.53,21.09,53.45,1,Cloudy,Afternoon,4.2,29.2,Open,23
24.61,19.04,41.9,9,Windy,Evening,4.9,44,Open,24
22.61,11.32,48.66,3,Windy,Morning,3.8,40.1,Open,24.01
32.09,30.41,57.28,1,Cloudy,Night,4.6,32.9,Open,23
24.06,18.05,58.65,3,Cloudy,Afternoon,9,32.4,Open,21.99
22.78,15.18,65.99,2,Windy,Night,9.7,39.8,Closed,20
27.23,32.88,41.34,7,Rainy,Afternoon,3.9,39.6,Open,23.5
20.4,33.84,34.67,4,Stormy,Evening,2.6,23.4,Open,22.99
31.64,36.33,51.98,7,Stormy,Evening,1.2,14.2,Closed,22
19.27,27.63,40.79,3,Humid,Evening,8.5,40.9,Open,22.99
34.78,41.29,49.73,6,Stormy,Evening,8.8,18.9,Open,22
31.13,42.77,,7,Windy,Afternoon,4.8,41.7,Open,23.99
21.38,38.26,27.65,7,Rainy,Afternoon,5.7,34.7,Open,23.51
18.09,32.25,43.47,5,Windy,Morning,7.5,24.3,Closed,22
31.86,20.63,54.55,6,Cloudy,Afternoon,4.1,44.1,Open,22.99
30.02,44.4,59.96,3,Cloudy,Afternoon,2.4,37.6,Closed,22.01
30.39,19.59,44.67,4,Stormy,Evening,1.6,31.8,Closed,23.01
31.11,17.09,28.26,6,Rainy,Morning,2.7,22,Open,23.51
19.26,25.48,40.73,3,Humid,Night,6.6,49.5,Open,24
24.09,11.99,59.31,7,Windy,Afternoon,3.8,43.5,Closed,21.99
19.97,44.25,40.64,3,Humid,Night,8.7,15.5,Open,23
32.67,30.6,54.83,9,Humid,Evening,1.3,42.2,Open,24.01
28.6,29.49,45.36,4,Humid,Evening,4.5,14.8,Closed,23
23.63,32.95,32.06,2,Humid,Night,2.9,19.9,Open,23.99
19.08,27.4,59.81,6,Windy,Night,8.9,48.3,Closed,21.01
23.29,11.12,24.21,9,Cloudy,Morning,8.2,44.8,Closed,22
23.53,31.43,46.24,2,Windy,Afternoon,9.9,34.2,Open,23.01
30.4,35.07,30.44,4,Cloudy,Afternoon,1.6,38,Closed,23.99
28.84,24.59,23.35,5,Cloudy,Afternoon,7.9,13.6,Closed,21.99
33.08,36.51,45.15,9,Windy,Afternoon,1.7,23.3,Open,24.99
26.03,17.95,44.98,7,Windy,Morning,2,22.9,Closed,22.99
20.03,17.74,55.35,5,Windy,Evening,0.9,11.3,Closed,22.99
30.13,15.65,57.24,6,Cloudy,Night,4.9,38.2,Closed,22
30.93,23.02,56.39,9,Windy,Evening,1.7,22.3,Open,24
27.54,39.65,40.48,4,Rainy,Morning,3.8,35.3,Open,23.51
31.11,38.98,51.58,2,Stormy,Afternoon,3.1,11.1,Open,21.99
26.39,23.4,48.85,5,Stormy,Evening,9.8,10.1,Open,21.99
26.89,30.62,41.08,7,Rainy,Afternoon,6.8,16.8,Open,23.5
25.27,35.23,49.86,4,Stormy,Night,4.4,38.1,Closed,22
18.43,18.44,67.36,1,Cloudy,Evening,8.8,34.2,Closed,20.01
19.83,15.88,29.64,8,Windy,Afternoon,1.1,18,Closed,23.99
18.53,44.02,65.29,5,Windy,Morning,3.7,30.9,Open,21.99
28.82,31.61,22.67,2,Windy,Night,5.4,34.8,Closed,23.01
23.34,44.35,35.42,3,Rainy,Afternoon,1,47.6,Closed,23.51
26.65,21.82,34.41,5,Rainy,Afternoon,1.9,40.5,Open,24.51
33.43,34.61,51.32,4,Cloudy,Morning,9,15.4,Open,22
22.24,17.79,26.56,9,Rainy,Night,2.2,20.8,Open,23.51
24.98,19.14,64.12,9,Windy,Morning,9.3,26.1,Open,21
30.84,27.92,61.43,8,Cloudy,Night,1.4,14.2,Open,23.01
21.89,21.19,52.6,2,Cloudy,Afternoon,8.9,32.2,Open,22
19.31,15.87,42.92,5,Windy,Afternoon,4.8,46.3,Open,24
22.93,19.2,66.65,8,Humid,Night,5.9,22.3,Closed,21.01
20.74,11.25,61.54,8,Windy,Afternoon,3.2,49.4,Closed,20.99
33.8,34.65,44.97,7,Cloudy,Evening,3.1,20,Closed,23
31.74,27.22,55.09,4,Humid,Afternoon,5.2,28.9,Closed,22
28.77,13.3,48.35,3,Windy,Night,3.9,23.7,Open,24.01
32.81,16.01,49.4,8,Windy,Evening,1.2,22.3,Open,24.99
31.66,13.59,36.55,8,Humid,Night,3.9,25.1,Closed,23
21.17,31.44,43.1,5,Humid,Evening,2.9,11.3,Closed,23
33.17,13.3,23.91,3,Stormy,Evening,8.6,31.3,Closed,21.01
27.17,36.4,37.87,5,Humid,Morning,8.5,39.7,Open,23
31.73,10.72,54.79,4,Rainy,Morning,1.8,44.6,Closed,22.49
33.23,18.73,67.66,8,Humid,Evening,7.4,23,Closed,20
23.41,41.17,68.15,2,Cloudy,Evening,4.8,32,Open,21.99
19.87,35.15,47.79,8,Humid,Evening,8.8,45.7,Open,23
21.87,12.55,50.33,6,Windy,Morning,3.1,42,Closed,22
25.26,38.74,29.29,4,Rainy,Morning,1.3,28.6,Closed,23.5
31.91,27.26,54.77,3,Humid,Morning,8.1,16.6,Closed,21.01
32.63,39.64,23.53,5,Rainy,Evening,8.7,32.3,Closed,21.51
18.12,31.03,34.23,6,Stormy,Evening,8.5,49.6,Closed,21.01
26.68,33.86,53.42,1,Rainy,Night,3.6,40.3,Open,22.5
25.1,44.77,35.52,1,Windy,Afternoon,0.8,43.9,Closed,24
21.78,18.13,22.49,3,Stormy,Afternoon,1.8,17.6,Closed,22.99
20.04,31.84,61.59,2,Humid,Morning,9.2,46.2,Open,20.99
23.74,26.11,35.52,1,Rainy,Morning,4,10.6,Closed,22.5
34.03,11.38,23.16,8,Stormy,Afternoon,8.9,44.5,Open,22
23.49,10.51,23.74,1,Humid,Morning,9.8,19.6,Open,23.01
26.82,14.17,32.59,8,Humid,Evening,4.3,34.9,Closed,23
29.95,32.72,28.9,5,Rainy,Afternoon,7.9,21.7,Open,22.49
24.18,29.85,58.72,4,Rainy,Evening,2.1,15.4,Closed,21.5
34.52,29.37,36.08,8,Stormy,Afternoon,4.1,19.9,Open,22.99
34.36,11.11,60.23,8,Rainy,Afternoon,7.2,28.9,Open,20.51
22.28,26.43,28.69,8,Humid,Morning,2.5,46.8,Closed,22.99
26.45,42.36,44.64,3,Windy,Evening,3.5,25.6,Open,24
23.11,23.92,54.4,8,Stormy,Evening,5.9,12.2,Closed,21
22.84,31.87,52.6,1,Windy,Night,7.1,11,Closed,21
18.63,37.29,50.06,4,Windy,Evening,3.9,18.4,Closed,22
28.36,37.44,66.24,5,Humid,Evening,4.1,12.1,Closed,21.01
26.55,28.17,31.43,6,Windy,Morning,1.5,24.8,Closed,23.99
18.88,40.03,44.69,5,Cloudy,Night,9.8,25.4,Closed,21.99
22.74,23.7,64.2,5,Stormy,Evening,6.3,48.9,Open,21.01
33.44,41.1,23.89,5,Humid,Morning,5.5,22.2,Open,24.01
22.07,18.41,22.79,9,Rainy,Afternoon,,34,Open,23.5
20.46,19.81,31.67,3,Humid,Evening,5.1,42.8,Closed,23.01
26.32,11.86,51.65,2,Rainy,Morning,4.7,30.5,Open,22.5
34.76,37.85,32.99,2,Humid,Afternoon,3,37.9,Open,24
22.11,24.6,29.51,8,Cloudy,Evening,4.7,49,Open,24
29.43,18.02,42.94,5,Stormy,Evening,2.4,23,Closed,22.01
30.95,18.11,50.68,5,Windy,Morning,7.2,13,Closed,20.99
22.04,41.55,32.43,6,Humid,Afternoon,9.1,27.2,Closed,22
30.38,39.19,35.03,9,Stormy,Afternoon,0.5,31.6,Closed,23
24.25,29.37,50.68,7,Stormy,Afternoon,5.8,33.2,Open,21.99
28.75,31.56,67.29,5,Stormy,Afternoon,7.5,39.5,Open,20
28.77,26.6,53.74,5,Stormy,Evening,9.1,45.9,Open,21.01
27.11,23.71,59.15,9,Stormy,Afternoon,3.9,30,Open,22.01
19.53,42.04,38.34,9,Windy,Morning,9.1,15.7,Closed,22
32.2,14.4,33.61,2,Windy,Morning,8.3,26.1,Open,22.99
23.45,24.65,42.71,7,Humid,Evening,5.5,16.2,Open,24
21.17,22.06,60.36,1,Rainy,Morning,2.9,17.3,Open,21.5
18.69,27.44,42.81,4,Humid,Night,6.7,10.1,Closed,23
28.05,26.02,62.34,2,Stormy,Evening,3,47.2,Open,21
29.52,28.16,69.44,9,Rainy,Night,3.8,39.8,Open,21.51
18.28,14.9,23.6,6,Humid,Afternoon,4.9,14,Closed,23
26.71,27.96,22.27,4,Rainy,Night,5.2,46.8,Open,23.5
21.85,18.48,27.48,3,Windy,Evening,2.3,44.8,Open,24
28.97,16.45,39.22,4,Stormy,Afternoon,7.1,46.4,Closed,21
20.96,12.27,26.55,2,Rainy,Morning,9.9,13.9,Open,22.5
29.75,36.69,63.53,5,Cloudy,Evening,2.8,13.2,Closed,20.99
24.57,24.96,21.16,9,Stormy,Afternoon,5.8,12.7,Open,23
33.92,31.93,35.79,6,Windy,Evening,4.8,48.7,Open,24.01
20.34,35.47,29.23,2,Windy,Afternoon,3.4,36.4,Open,23.99
23.8,33.78,66.58,6,Humid,Evening,4.5,17.1,Open,22
19.93,26.47,53.47,9,Cloudy,Evening,7.5,47.2,Open,22
33.72,23.58,65.6,4,Rainy,Evening,4.4,27.7,Closed,20.5
32.91,23.16,68.62,1,Humid,Evening,5.3,41.4,Open,
22.39,32.4,44.85,2,Windy,Night,5,35.4,Open,23.99
29.22,27.32,31.72,5,Rainy,Afternoon,5.8,36,Open,23.51
31.89,39.72,29.69,7,Windy,Afternoon,3.3,27.6,Closed,22.99
27.44,40.61,31.15,8,Windy,Evening,5.3,25.8,Open,24.01
27,15.97,55.43,3,Cloudy,Evening,1.8,16.5,Open,23.99
22.11,14.77,22.02,9,Stormy,Morning,7.5,12.8,Open,22
19.58,32.06,22.57,2,Rainy,Afternoon,1.6,47.1,Open,24.49
33.25,20.54,50.41,4,Cloudy,Night,8,47.5,Open,22.01
33.31,10.65,52.1,4,Windy,Afternoon,8.3,35.7,Open,22.01
28.76,41.1,53.26,6,Windy,Afternoon,0.7,25.5,Open,23.99
23.76,17.94,38.59,6,Cloudy,Afternoon,8.4,11,Open,22.99
23.94,42.52,60.3,3,Rainy,Morning,6.7,27.9,Open,21.49
30.34,35.11,46.68,9,Windy,Night,1.4,36.4,Open,24.99
33.25,36.69,25.27,5,Rainy,Evening,10,22,Closed,21.49
33.08,17.05,59.85,2,Cloudy,Night,6.3,23.7,Closed,21.99
31.26,18.2,67.65,6,Windy,Evening,4.3,28.9,Closed,21.01
28.91,28.24,23,3,Humid,Evening,8.9,29.8,Closed,22.01
19.43,16.02,39.57,8,Humid,Night,0.9,39.7,Open,25
20.75,20.69,44.38,3,Windy,Morning,7.3,30,Closed,22.01
33.28,21.25,27.32,5,Stormy,Morning,1.9,43.8,Closed,23
28.31,15.59,63.39,4,Windy,Evening,5.7,29.3,Closed,20.99
18.16,17.18,34.21,4,Windy,Morning,1.4,11.3,Open,25
19.73,37.6,59.15,2,Windy,Morning,7,15.7,Closed,21.99
29.28,15.85,53.55,8,Cloudy,Morning,4.9,38.7,Closed,22.01
18.09,11,49.9,3,Windy,Morning,0.6,28.1,Closed,24.01
20.73,32.03,29.61,4,Windy,Evening,1.2,28.4,Open,24.99
27.33,44.16,31.04,6,Cloudy,Morning,7.2,49.1,Open,23
29.76,21.59,22.37,9,Windy,Night,4.3,32.9,Closed,23
29.08,14.15,32.04,4,Humid,Night,6.9,14.7,Closed,22.99
21.81,29.96,37.27,3,Humid,Evening,4.2,27.4,Open,23.99
30.11,41.72,61.66,5,Windy,Afternoon,3.9,32.5,Closed,21
22.03,37.44,38.32,9,Cloudy,Morning,8.6,11.5,Closed,22
23.53,31.79,57.73,1,Windy,Night,8.6,24.6,Closed,20.99
,21.03,41.97,5,Windy,Afternoon,9.2,48.7,Open,23.01
29.04,28.97,59.24,4,Rainy,Night,8.3,40.1,Closed,20.5
32.44,13.19,68.81,5,Stormy,Night,1.7,24.9,Closed,21
29.18,33.76,31.99,7,Cloudy,Afternoon,1.1,20.5,Open,25
27.66,35.38,63.12,7,Stormy,Morning,1.1,21.3,Closed,21
19.59,43.78,51.09,7,Rainy,Evening,9.8,43.1,Open,21.5
24.25,19.11,60.86,1,Stormy,Evening,5.3,26.1,Closed,20.01
22.51,10.65,52.58,9,Windy,Evening,1.6,43.7,Closed,23.01
22.15,29.1,41.2,7,Humid,Morning,5.7,46.3,Open,24
34.54,34.74,31.4,4,Cloudy,Morning,7.2,28.6,Closed,22
24.68,37.66,23.5,4,Cloudy,Night,1.4,47.8,Open,25
33.16,16.78,46.78,2,Windy,Evening,3.8,22,Open,24
28.73,19.16,69.52,6,Stormy,Evening,2.3,20.4,Open,21
31.51,27.94,56.9,3,Cloudy,Night,9.8,14.3,Closed,21
26.54,21.57,36.37,1,Rainy,Night,3.5,19.8,Closed,22.51
27.81,40.12,61.36,5,Rainy,Afternoon,7.1,40.9,Closed,19.5
26.37,26.58,58.45,6,Stormy,Afternoon,9.2,26.2,Closed,20.01
21.32,37.99,34.08,5,Rainy,Morning,8.7,15.9,Closed,21.51
30.28,30.32,20.72,5,Humid,Evening,4.2,14.3,Closed,23
22.77,37.06,25.91,8,Windy,Night,3.5,29.6,Open,24
18.41,21.64,63.87,1,Cloudy,Evening,8.2,31.6,Open,21.01
28.97,39.1,61.83,8,Windy,Morning,2.4,41.8,Open,22
21.01,19.61,34.76,7,Stormy,Evening,7.3,38.6,Closed,21
33.99,29.11,34.26,1,Windy,Night,8.4,16.7,Open,23
34.22,17.49,59.64,9,Cloudy,Night,8.6,21.1,Open,22.01
33.55,26.64,66.89,4,Cloudy,Night,0.6,37.8,Closed,22.01
24.29,21.14,58.96,7,Stormy,Morning,5.2,17.2,Closed,21
18.26,19.33,50.28,3,Cloudy,Night,3.9,42.1,Open,22.99
33.78,43.84,32.13,8,Rainy,Afternoon,9.8,36.3,Open,22.5
25.28,15.6,46.29,4,Windy,Night,5.7,31.5,Open,23.99
34.43,37.56,31.68,2,Humid,Evening,4.6,35.8,Open,24
34.38,44.45,60.4,2,Humid,Night,2.8,14,Open,22
32.5,10.7,39.35,8,Humid,Night,8.5,31.9,Closed,21.99
23.01,34.47,61.68,8,Stormy,Evening,3.5,28.1,Open,21.01
24.55,18.85,39.08,1,Humid,Morning,8.4,30.5,Closed,22
32.47,11.42,61.21,6,Windy,Morning,9,23.5,Closed,20
23.39,24.1,36.67,9,Cloudy,Morning,1.1,28.7,Closed,23.99
20.88,42.73,42.01,9,Rainy,Morning,5.3,45.3,Open,23.5
27.47,10.41,50.77,2,Humid,Night,4.5,23.8,Closed,22
33.91,30.58,23.51,8,Humid,Night,4.2,11.8,Closed,23
29.83,27.55,67.41,8,Humid,Afternoon,4,20.3,Open,22
27.69,40.57,48.68,4,Rainy,Morning,5.6,28.2,Closed,22.5
19.65,12.94,45.39,4,Windy,Evening,1.7,31.3,Open,25.01
28.46,33.85,61.97,5,Humid,Evening,8.8,27.1,Open,21
34.83,33.8,63.29,7,Cloudy,Evening,5.8,43.1,Open,21.99
20.38,33.42,46.11,1,Stormy,Evening,3.8,46.6,Open,22.99
26.81,42.98,66.36,9,Rainy,Afternoon,2.8,29.5,Closed,20.5
32.92,38.81,23.24,3,Windy,Afternoon,6.4,13,Open,24
30.59,11.47,25.66,4,Cloudy,Afternoon,8,26.8,Closed,21.99
29.85,26.49,49.84,7,Rainy,Morning,4.7,17.2,Closed,22.49
29.94,23.93,37.7,5,Rainy,Night,9.9,21.3,Open,22.49
24.11,20.86,43.21,5,Stormy,Evening,5.6,43.3,Closed,22
22.99,25.8,36.4,1,Stormy,Evening,9.8,31.4,Open,21.99
31.76,23.45,40.24,2,Windy,Afternoon,9.6,43.1,Closed,22
31.77,25.13,61.13,5,Humid,Morning,6.2,49.4,Closed,21
32.74,44.27,49.67,2,Stormy,Afternoon,6,31.8,Open,23
33.53,13.1,69.87,1,Windy,Evening,1.5,46.5,Open,23.01
26.69,42.28,59.34,3,Rainy,Evening,9.3,37.3,Open,21.5
26.53,26.81,33.68,1,Humid,Afternoon,8.1,14.1,Closed,21.99
31.57,31.83,33.22,8,Cloudy,Evening,5.3,26.7,Closed,23
29.05,39.06,36.79,8,Rainy,Night,3.4,36.4,Closed,22.5
29.93,22.62,62.16,8,Windy,Night,8.5,38.2,Open,21.01
31.53,25.06,21.36,7,Cloudy,Afternoon,3.3,44.4,Open,23.99
33.13,24.33,31.51,7,Rainy,Night,5.6,35.5,Open,23.5
23.75,23.12,65.25,2,Stormy,Night,2.4,13.6,Open,21.01
24.38,42.39,51.99,9,Windy,Afternoon,8.1,15.7,Closed,21.01
19.6,39.01,31.34,7,Cloudy,Afternoon,7.7,23.1,Open,22.99
27.83,13.81,30.96,5,Stormy,Afternoon,3.3,21.8,Closed,22
18.61,13.78,63.13,4,Cloudy,Night,1.6,18.9,Closed,21.99
25.92,24.98,64.69,8,Humid,Evening,2.2,34.7,Closed,21.01
27.22,13.45,32.81,5,Humid,Morning,6.4,27.2,Closed,23.01
22.87,31.67,41.03,6,Windy,Evening,1.9,37.4,Closed,24.01
28.04,15.03,61.73,4,Cloudy,Afternoon,3.5,25.5,Open,21.99
18.52,28.28,58.55,2,Humid,Evening,8.5,21,Closed,21.01
18.63,10.25,60.7,7,Rainy,Morning,1.3,32,Open,22.5
31.98,21.08,45.92,2,Rainy,Evening,6,13.9,Closed,22.5
24.12,33.7,65.58,7,Humid,Afternoon,4.3,49.5,Closed,21
20.16,26.94,36.3,7,Humid,Morning,1.6,36.2,Open,25
26.88,44.24,27.83,1,Windy,Night,5.3,14.9,Closed,23
31.09,40.59,55.44,3,Windy,Evening,5.4,34.9,Closed,22
21.67,22.57,46.97,3,Rainy,Night,4.1,13,Closed,22.5
28.59,11.59,,6,Stormy,Night,1,30.2,Closed,21.01
19.45,39.6,24.06,3,Cloudy,Morning,2.5,21.6,Open,24
18.88,41.89,62.18,9,Stormy,Night,4.3,38,Closed,20.01
27.03,38.72,34.66,5,Windy,Night,3.1,29.5,Closed,23
27.19,14.48,52.74,6,Stormy,Evening,2,41.4,Closed,21
28.84,44.93,22.01,6,Windy,Morning,5.1,19.2,Closed,23.01
30.34,19.05,50.48,8,Stormy,Afternoon,4.3,36.2,Open,22
34.59,35.35,55.86,3,Rainy,Afternoon,6.8,37.5,Open,22.49
26.78,41.78,38.44,9,Windy,Morning,5.8,29.1,Open,24.01
23.49,18.25,30.77,7,Rainy,Night,2.1,44.3,Closed,22.51
31.52,41.79,46.88,6,Stormy,Evening,7,15.9,Closed,22
22.6,20.83,61.66,1,Humid,Night,4.9,40.3,Closed,21.01
25.46,44.17,36.18,4,Humid,Afternoon,1.6,15.3,Closed,24
19.33,19.84,32.62,5,Cloudy,Evening,0.7,16.3,Closed,24
18.43,43.37,33.95,2,Humid,Morning,6.5,18.1,Closed,23.01
34.37,11.87,67.46,1,Cloudy,Night,6.4,36.4,Closed,20.99
32.21,34.82,37.96,2,Stormy,Night,8.3,35.6,Open,22
29.83,28.62,20.18,8,Cloudy,Evening,7.7,27.8,Closed,22
24.95,26.73,59.08,6,Cloudy,Night,8.8,22.6,Closed,21
20.95,17.82,54.96,2,Cloudy,Morning,3.3,34.5,Open,23
20.66,34.7,26.43,9,Rainy,Evening,4.4,15.8,Open,23.5
22.25,16.68,69.25,8,Cloudy,Morning,1.1,35.1,Open,23.01
27.34,29.35,50.4,4,Windy,Morning,4.4,10.5,Open,23.01
30.15,18.86,45.04,7,Stormy,Morning,2.6,15.8,Open,23
29.22,43.45,39.11,3,Rainy,Morning,8.2,38.3,Open,22.5
22.76,11,64.93,6,Windy,Night,6.7,45,Open,22
34.23,16.99,32.2,3,Stormy,Evening,7.9,13,Open,22.01
30.54,18.48,34.29,3,Rainy,Night,6.1,35.6,Open,23.5
27.42,24.49,26.12,9,Stormy,Afternoon,6.2,12.5,Open,23.01
28.4,18.15,57.96,6,Humid,Morning,2.7,45.2,Closed,22
25.13,27.2,49.78,8,Stormy,Morning,6.9,25.7,Open,23
22.21,40.54,50.45,4,Humid,Afternoon,1.9,39.6,Open,24.01
24.05,34.92,30.92,4,Humid,Afternoon,3.1,16.9,Open,24
30.88,30.3,52.56,8,Stormy,Morning,2.2,44.5,Closed,20.99
18.24,13.12,58.27,7,Humid,Night,9.5,27.2,Closed,21
19.97,34.29,37.89,5,Rainy,Night,9,18.4,Open,22.5
18.78,15.82,60.07,2,Humid,Morning,8.8,32.9,Closed,20
18.69,37.52,37.44,6,Cloudy,Evening,9.6,21.5,Open,22.99
32.54,18.75,57.91,1,Rainy,Afternoon,6.3,21.5,Open,22.5
29.96,24.6,21.69,7,Rainy,Night,9,14.6,Open,22.49
26.06,22.27,47.56,9,Rainy,Evening,3.3,18.6,Open,23.49
19.66,40.06,68.48,5,Cloudy,Morning,4.2,41.9,Closed,20.99
26.36,14.43,69.06,5,Cloudy,Morning,4.9,30.9,Open,22.01
26.05,29.8,34.09,7,Cloudy,Night,1.3,24.2,Open,25
20.94,14.97,42.07,5,Cloudy,Night,8.3,47.2,Open,23
25.38,34.67,23.15,4,Cloudy,Morning,1.6,41.9,Open,25
24.77,41.68,63.67,1,Windy,Night,8.1,22.4,Closed,20
28.47,25.21,48.43,6,Windy,Night,9.3,14.4,Closed,22
28.8,27.08,39.26,9,Cloudy,Night,5.9,17.4,Open,24
18.77,42.46,25.64,4,Rainy,Morning,2.1,37,Closed,22.51
24.37,28.23,67.34,4,Humid,Afternoon,4.6,32.5,Open,22
28.64,27.07,46.51,5,Humid,Evening,1.8,49.2,Closed,24
26.55,30.24,34.15,6,Windy,Afternoon,1.6,10.5,Closed,24
32.56,34.12,37.51,3,Cloudy,Morning,7.7,45.1,Open,23
29.2,13.74,33.53,9,Stormy,Evening,4.2,10.6,Closed,22
20.77,38.74,50.09,1,Humid,Morning,0.5,27,Closed,22.99
19.2,25.24,66.5,6,Humid,Afternoon,1,46.7,Closed,22
28.92,12.53,62.83,6,Rainy,Morning,8.3,36.3,Open,20.49
18.45,37.52,43.02,8,Humid,Night,6.4,33.3,Open,24.01
27.96,23.19,61.32,5,Windy,Night,8.5,22.5,Closed,20.01
33.98,13.51,41.16,9,Cloudy,Afternoon,3.1,48.6,Open,24
27.78,32.18,32.62,9,Cloudy,Night,3.5,16.7,Closed,23
24.6,40.8,69.17,2,Humid,Afternoon,6.4,20.8,Open,22
28.94,41.07,35.19,5,Stormy,Morning,6.8,28.1,Open,22.99
25.79,43.52,36.19,7,Windy,Morning,0.8,15.1,Open,25.01
27.28,40.37,69.48,2,Humid,Afternoon,9.1,26.9,Closed,20.01
34,10.07,26.7,7,Windy,Evening,8.1,11.6,Open,23
24.56,23.31,58.03,9,Stormy,Afternoon,1.8,47,Open,23
34.34,38.65,66.79,8,Windy,Evening,0.6,22.9,Open,23
33.39,22.82,45.59,9,Windy,Afternoon,7.8,35.4,Open,22.99
21.33,31.05,20.13,4,Windy,Morning,9.1,44.8,Open,23
19.18,31.22,38.75,8,Cloudy,Night,3.6,42.7,Open,24
